Date,Open,High,Low,Close,Adj Close,Volume
2009-05-22,4.430000,4.430000,4.250000,4.260000,4.260000,8274300
2009-05-26,4.260000,4.570000,4.230000,4.530000,4.530000,16094300
2009-05-27,4.570000,4.800000,4.550000,4.710000,4.710000,21512600
2009-05-28,4.750000,4.840000,4.540000,4.700000,4.700000,18383900
2009-05-29,4.710000,4.780000,4.380000,4.540000,4.540000,24539700
2009-06-01,4.690000,4.900000,4.640000,4.730000,4.730000,26633200
2009-06-02,4.680000,4.700000,4.550000,4.560000,4.560000,24950700
2009-06-03,4.550000,4.600000,4.340000,4.480000,4.480000,19087100
2009-06-04,4.570000,4.740000,4.540000,4.650000,4.650000,19728300
2009-06-05,4.840000,4.870000,4.610000,4.630000,4.630000,18775200
2009-06-08,4.580000,4.670000,4.500000,4.610000,4.610000,12342400
2009-06-09,4.700000,4.800000,4.680000,4.750000,4.750000,18767500
2009-06-10,4.810000,4.860000,4.700000,4.820000,4.820000,18322600
2009-06-11,4.830000,4.870000,4.680000,4.700000,4.700000,15847200
2009-06-12,4.750000,4.790000,4.330000,4.470000,4.470000,39939500
2009-06-15,4.390000,4.450000,4.210000,4.260000,4.260000,27471700
2009-06-16,4.300000,4.350000,4.100000,4.130000,4.130000,27530400
2009-06-17,4.130000,4.170000,3.860000,4.080000,4.080000,32809400
2009-06-18,4.030000,4.070000,3.810000,3.850000,3.850000,29208700
2009-06-19,3.920000,3.980000,3.860000,3.870000,3.870000,20840700
2009-06-22,3.840000,3.860000,3.610000,3.620000,3.620000,21564900
2009-06-23,3.670000,3.690000,3.430000,3.550000,3.550000,21411900
2009-06-24,3.630000,3.780000,3.600000,3.660000,3.660000,19674200
2009-06-25,3.620000,3.680000,3.530000,3.640000,3.640000,14595100
2009-06-26,3.690000,3.710000,3.620000,3.620000,3.620000,16782600
2009-06-29,3.720000,3.780000,3.650000,3.720000,3.720000,14889100
2009-06-30,3.770000,3.980000,3.740000,3.870000,3.870000,24129800
